plot	site	time	total_precipitation_hourly	u_component_of_wind_10m	v_component_of_wind_10m	ws
plot1	Nouragues	2001-01-13 01:00:00	1.716427505016327e-06	-1.07269287109375	-1.0060577392578125	1.47065365413339
plot1	Nouragues	2001-01-13 02:00:00	1.1650845408439636e-06	-0.9805145263671875	-0.88580322265625	1.321384155227112
plot1	Nouragues	2001-01-13 03:00:00	1.94646418094635e-06	-0.882293701171875	-0.72802734375	1.1438819818387063
plot1	Nouragues	2001-01-13 04:00:00	3.032386302947998e-06	-0.737548828125	-0.7184295654296875	1.029620956639894
plot1	Nouragues	2001-01-13 05:00:00	6.861984729766846e-06	-0.686126708984375	-0.75750732421875	1.0220504914272972
plot1	Nouragues	2001-01-13 06:00:00	5.416572093963623e-06	-0.433197021484375	-0.6558380126953125	0.7859918309493241
plot1	Nouragues	2001-01-13 07:00:00	2.300739288330078e-05	-0.370330810546875	-0.63848876953125	0.7381143665163516
plot1	Nouragues	2001-01-13 08:00:00	0.00015982985496520996	-0.515289306640625	-0.7559051513671875	0.9148309501769312
plot1	Nouragues	2001-01-13 09:00:00	0.00022820681323310055	-0.806915283203125	-1.1787643432617188	1.428494890159573
plot1	Nouragues	2001-01-13 10:00:00	0.00013655424118041992	-0.9052886962890625	-1.1752033233642578	1.483458956248924
plot1	Nouragues	2001-01-13 11:00:00	0.00016987323760986328	-1.3089141845703125	-1.3207855224609375	1.859497442566614
plot1	Nouragues	2001-01-13 12:00:00	0.00024247169494628906	-0.9426422119140625	-0.882232666015625	1.2910882296215367
plot1	Nouragues	2001-01-13 13:00:00	2.650916576385498e-05	-0.8374481201171875	-0.838653564453125	1.185183173630871
plot1	Nouragues	2001-01-13 14:00:00	8.881092071533203e-05	-1.363800048828125	-1.1608428955078125	1.790951367635246
plot1	Nouragues	2001-01-13 15:00:00	7.295608520507812e-05	-1.44439697265625	-1.33868408203125	1.9693546369565817
plot1	Nouragues	2001-01-13 16:00:00	0.0005014240741729736	-1.365081787109375	-1.4082489013671875	1.9612784742865088
plot1	Nouragues	2001-01-13 17:00:00	0.002454906702041626	-2.2525482177734375	-1.678680419921875	2.8092599426936933
plot1	Nouragues	2001-01-13 18:00:00	0.0019402503967285156	-1.8498382568359375	-0.9848175048828125	2.0956543356139217
plot1	Nouragues	2001-01-13 19:00:00	0.00027120113372802734	-2.1784210205078125	-1.5460052490234375	2.6712638156120634
plot1	Nouragues	2001-01-13 20:00:00	0.00031904876232147217	-2.07421875	-1.4149627685546875	2.510876950240196
plot1	Nouragues	2001-01-13 21:00:00	1.3008713722229004e-05	-1.6540679931640625	-1.338470458984375	2.1277791463363
plot1	Nouragues	2001-01-13 22:00:00	1.8477439880371094e-06	-1.600372314453125	-1.2417449951171875	2.025616493259925
plot1	Nouragues	2001-01-13 23:00:00	2.8908252716064453e-06	-1.578369140625	-1.1310272216796875	1.9417702542416737
plot1	Nouragues	2001-01-14 00:00:00	8.642673492431641e-07	-1.48431396484375	-1.1563568115234375	1.8815815214299974
plot1	Nouragues	2001-01-14 01:00:00	0.0	-1.185028076171875	-1.024489402770996	1.5664833474077173
plot1	Nouragues	2001-01-14 02:00:00	0.0	-0.949310302734375	-1.02850341796875	1.3996461451563507
plot1	Nouragues	2001-01-14 03:00:00	0.0	-0.827178955078125	-1.2099952697753906	1.4657126514439858
plot1	Nouragues	2001-01-14 04:00:00	0.0	-0.6612701416015625	-1.2980976104736328	1.4568238076346451
plot1	Nouragues	2001-01-14 05:00:00	5.513429641723633e-07	-0.6307220458984375	-1.276789665222168	1.4240794038256597
plot1	Nouragues	2001-01-14 06:00:00	8.568167686462402e-07	-0.6445770263671875	-1.270233154296875	1.4244198149405793
plot1	Nouragues	2001-01-14 07:00:00	1.214444637298584e-06	-0.5323486328125	-1.2537841796875	1.3621196115216885
plot1	Nouragues	2001-01-14 08:00:00	3.248453140258789e-06	-0.5395050048828125	-1.272491455078125	1.3821360835823828
